name,description,price,categories
Caneta Esferográfica Azul, Caneta esferográfica com tinta azul e escrita suave, 2.50, [Canetas],
Caneta Esferográfica Preta, Caneta esferográfica preta ideal para uso diário, 2.50, [Canetas],
Caneta Gel Preta, Caneta gel preta com ponta fina, 4.20, [Canetas],
Caneta Marca-Texto Amarela, Marca-texto amarelo para realçar textos, 3.80, [Canetas],
Caneta Marca-Texto Rosa, Marca-texto rosa fluorescente, 3.80, [Canetas],
Caneta Permanente Preta, Caneta permanente para escrita em plástico e metal, 5.40, [Canetas],
Caneta para Quadro Branco, Caneta para quadro branco com ponta média, 6.20, [Canetas],
Lapiseira 0.5 mm, Lapiseira com corpo emborrachado e ponta 0.5 mm, 12.90, [Canetas],
Lapiseira 0.7 mm, Lapiseira com ponta 0.7 mm para escrita precisa, 12.90, [Canetas],
Estojo para Canetas, Estojo compacto para guardar canetas e lápis, 18.00, [Utensílios de mesa],
Caderno Universitário 200 Folhas, Caderno universitário pautado com 200 folhas, 19.90, [Cadernos],
Caderno Brochura 96 Folhas, Caderno brochura pautado com 96 folhas, 14.50, [Cadernos],
Caderno Pautado A4, Caderno pautado tamanho A4 para anotações, 22.00, [Cadernos],
Caderno Sem Pauta A5, Caderno sem pauta A5 para desenho e rascunho, 18.50, [Cadernos],
Caderno de Desenho, Caderno de desenho com folhas brancas para sketch, 24.90, [Cadernos],
Bandeja Porta-Documentos, Bandeja para organizar documentos na mesa, 32.90, [Organização],
Suporte para Livros, Suporte para livros e pastas na mesa, 39.90, [Organização],
Arquivo Móvel, Caixa de arquivo móvel para armazenamento de documentos, 79.90, [Organização],
Etiquetas Adesivas A4, Folhas de etiquetas adesivas para impressora, 31.90, [Impressão],
Papel Adesivo para Impressora, Papel adesivo A4 para etiquetas e rótulos, 33.50, [Impressão],
Cartucho de Tinta Preta, Cartucho de tinta preta compatível para impressora, 89.90, [Impressão],
Cartucho de Tinta Colorida, Cartucho de tinta colorida compatível para impressora, 95.90, [Impressão],
Toner Compatível HP, Toner compatível para impressoras HP, 219.90, [Impressão],
Clip de Papel 100 Unidades, Pacote com 100 clipes de papel, 8.90, [Utensílios de mesa],
Borracha Branca, Borracha branca para apagar com precisão, 4.50, [Utensílios de mesa],
Apontador Duplo, Apontador duplo com reservatório, 9.90, [Utensílios de mesa],
Régua de 30cm, Régua transparente de 30 cm para desenho, 7.90, [Utensílios de mesa],
Tesoura Escolar, Tesoura escolar com ponta arredondada, 12.50, [Utensílios de mesa],
Calculadora de Mesa, Calculadora de mesa com display grande, 49.90, [Utensílios de mesa],
Grampeador com Grampos, Grampeador compacto com 100 grampos, 24.90, [Utensílios de mesa],
Marcador Permanente Vermelho, Marcador permanente vermelho para escrita duradoura, 5.90, [Canetas],
Marcador Permanente Azul, Marcador permanente azul para escrita duradoura, 5.90, [Canetas],
Refil de Caneta Marca-Texto, Refil para caneta marca-texto amarelo, 11.90, [Canetas],
Kit de Lapiseira 0.5 mm, Kit com 2 lapiseiras 0.5 mm e grafites extras, 29.90, [Canetas],
Organizador de Gaveta, Organizador modular para gavetas de escritório, 26.90, [Organização],
Etiquetas Adesivas A4, Folhas de etiquetas adesivas para impressora, 31.90, [Impressão],
Papel Adesivo para Impressora, Papel adesivo A4 para etiquetas e rótulos, 33.50, [Impressão],
Cartucho de Tinta Preta, Cartucho de tinta preta compatível para impressora, 89.90, [Impressão],
Cartucho de Tinta Colorida, Cartucho de tinta colorida compatível para impressora, 95.90, [Impressão],
Caderno 100 Folhas, Caderno com 100 folhas para escrita, 12.90, [Cadernos],
